condition,agent_type,seed,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
no_crisis,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,0,100.0,100.0,100.0,19,3,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
ordinary_disturbance,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ordinary_disturbance,scripted,0,100.0,100.0,100.0,19,4,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,0,100.0,100.0,100.0,19,5,7,1.0,1.0,1.0,1.0,0.2,0.5714285714285714,0.0,0.8,0.42857142857142855,0.0,0.8,0.42857142857142855,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
cert_crisis_unused_channel,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cert_crisis_unused_channel,scripted,0,100.0,100.0,100.0,19,5,12,1.0,1.0,1.0,1.0,0.4,0.6666666666666666,0.0,0.6,0.3333333333333333,0.0,0.6,0.3333333333333333,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
reset_d10,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d10,scripted,0,100.0,100.0,100.0,19,5,7,1.0,1.0,1.0,1.0,0.6,0.7142857142857143,0.0,0.4,0.2857142857142857,0.0,0.4,0.2857142857142857,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
reset_d25,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d25,scripted,0,100.0,100.0,100.0,19,5,8,1.0,1.0,1.0,1.0,0.4,1.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
reset_d50,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d50,scripted,0,100.0,100.0,100.0,19,5,8,1.0,1.0,1.0,1.0,0.2,0.875,0.0,0.8,0.125,0.0,0.8,0.125,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
reset_d100,dqn,0,69.5,33.33333333333333,33.33333333333333,32,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d100,scripted,0,100.0,100.0,100.0,19,5,8,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,1,100.0,48.66666666666667,33.33333333333333,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,1,100.0,100.0,100.0,20,4,9,1.0,1.0,1.0,0.9,0.75,0.7777777777777778,0.1,0.25,0.2222222222222222,0.1,0.25,0.2222222222222222,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,1.0
ordinary_disturbance,dqn,1,100.0,48.66666666666667,12.666666666666668,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
ordinary_disturbance,scripted,1,100.0,100.0,100.0,20,4,8,1.0,1.0,1.0,0.9,0.75,0.875,0.1,0.25,0.125,0.1,0.25,0.125,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,1.0
cert_crisis_used_channel,dqn,1,100.0,48.66666666666667,33.33333333333333,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,1,100.0,100.0,66.66666666666666,20,6,4,1.0,1.0,1.0,0.9,0.16666666666666666,0.0,0.1,0.8333333333333334,1.0,0.1,0.8333333333333334,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,1.0,0.0
cert_crisis_unused_channel,dqn,1,100.0,48.66666666666667,33.33333333333333,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
cert_crisis_unused_channel,scripted,1,100.0,100.0,100.0,20,4,35,1.0,1.0,1.0,0.9,0.75,0.5142857142857142,0.1,0.25,0.4857142857142857,0.1,0.25,0.4857142857142857,0.0,0.0,0.0,0.15,0.0,0.22857142857142856,1.0,0.0,1.0
reset_d10,dqn,1,100.0,48.66666666666667,33.33333333333333,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
reset_d10,scripted,1,100.0,100.0,100.0,20,4,8,1.0,1.0,1.0,0.9,0.5,0.875,0.1,0.5,0.125,0.1,0.5,0.125,0.0,0.0,0.0,0.15,0.0,0.0,1.0,1.0,0.0
reset_d25,dqn,1,100.0,48.66666666666667,33.33333333333333,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
reset_d25,scripted,1,100.0,100.0,100.0,20,5,8,1.0,1.0,1.0,0.9,0.2,0.875,0.1,0.8,0.125,0.1,0.8,0.125,0.0,0.0,0.0,0.15,0.0,0.0,1.0,1.0,1.0
reset_d50,dqn,1,100.0,48.66666666666667,33.33333333333333,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
reset_d50,scripted,1,100.0,100.0,100.0,20,6,6,1.0,1.0,1.0,0.9,0.16666666666666666,1.0,0.1,0.8333333333333334,0.0,0.1,0.8333333333333334,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,1.0,0.0
reset_d100,dqn,1,100.0,48.66666666666667,33.33333333333333,78,0,0,1.0,0.0,0.0,0.9871794871794872,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,1.0,0.0,0.0
reset_d100,scripted,1,100.0,100.0,100.0,20,6,8,1.0,1.0,1.0,0.9,0.16666666666666666,1.0,0.1,0.8333333333333334,0.0,0.1,0.8333333333333334,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,2,100.0,100.0,100.0,19,4,7,1.0,1.0,1.0,0.9473684210526315,0.75,0.8571428571428571,0.05263157894736842,0.25,0.14285714285714285,0.05263157894736842,0.25,0.14285714285714285,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
ordinary_disturbance,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
ordinary_disturbance,scripted,2,100.0,100.0,100.0,19,5,5,1.0,1.0,1.0,0.9473684210526315,0.6,0.8,0.05263157894736842,0.4,0.2,0.05263157894736842,0.4,0.2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
cert_crisis_used_channel,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,2,100.0,100.0,66.66666666666666,19,6,12,1.0,1.0,1.0,0.9473684210526315,0.3333333333333333,0.3333333333333333,0.05263157894736842,0.6666666666666666,0.6666666666666666,0.05263157894736842,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.10526315789473684,0.0,0.08333333333333333,1.0,1.0,1.0
cert_crisis_unused_channel,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
cert_crisis_unused_channel,scripted,2,100.0,100.0,100.0,19,5,14,1.0,1.0,1.0,0.9473684210526315,0.8,0.7857142857142857,0.05263157894736842,0.2,0.21428571428571427,0.05263157894736842,0.2,0.21428571428571427,0.0,0.0,0.08333333333333333,0.10526315789473684,0.0,0.21428571428571427,1.0,0.0,1.0
reset_d10,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
reset_d10,scripted,2,100.0,100.0,100.0,19,4,8,1.0,1.0,1.0,0.9473684210526315,0.5,1.0,0.05263157894736842,0.5,0.0,0.05263157894736842,0.5,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
reset_d25,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
reset_d25,scripted,2,100.0,100.0,100.0,19,4,9,1.0,1.0,1.0,0.9473684210526315,0.5,0.8888888888888888,0.05263157894736842,0.5,0.1111111111111111,0.05263157894736842,0.5,0.1111111111111111,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
reset_d50,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
reset_d50,scripted,2,100.0,100.0,100.0,19,6,7,1.0,1.0,1.0,0.9473684210526315,0.3333333333333333,1.0,0.05263157894736842,0.6666666666666666,0.0,0.05263157894736842,0.6666666666666666,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
reset_d100,dqn,2,64.33333333333333,33.33333333333333,33.33333333333333,16,0,0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0
reset_d100,scripted,2,100.0,100.0,100.0,19,6,7,1.0,1.0,1.0,0.9473684210526315,0.3333333333333333,1.0,0.05263157894736842,0.6666666666666666,0.0,0.05263157894736842,0.6666666666666666,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
no_crisis,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,3,100.0,100.0,100.0,18,4,7,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
ordinary_disturbance,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ordinary_disturbance,scripted,3,100.0,100.0,100.0,18,4,7,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,3,100.0,100.0,66.66666666666666,18,7,4,1.0,1.0,1.0,0.9444444444444444,0.14285714285714285,0.0,0.05555555555555555,0.8571428571428571,1.0,0.05555555555555555,0.8571428571428571,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
cert_crisis_unused_channel,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cert_crisis_unused_channel,scripted,3,100.0,100.0,100.0,18,4,12,1.0,1.0,1.0,0.9444444444444444,0.75,0.6666666666666666,0.05555555555555555,0.25,0.3333333333333333,0.05555555555555555,0.25,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,1.0
reset_d10,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d10,scripted,3,100.0,100.0,100.0,18,5,8,1.0,1.0,1.0,0.9444444444444444,0.6,1.0,0.05555555555555555,0.4,0.0,0.05555555555555555,0.4,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0
reset_d25,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d25,scripted,3,100.0,100.0,100.0,18,6,7,1.0,1.0,1.0,0.9444444444444444,0.16666666666666666,0.8571428571428571,0.05555555555555555,0.8333333333333334,0.14285714285714285,0.05555555555555555,0.8333333333333334,0.14285714285714285,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,1.0
reset_d50,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d50,scripted,3,100.0,100.0,100.0,18,7,7,1.0,1.0,1.0,0.9444444444444444,0.14285714285714285,1.0,0.05555555555555555,0.8571428571428571,0.0,0.05555555555555555,0.8571428571428571,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
reset_d100,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d100,scripted,3,100.0,100.0,100.0,18,7,7,1.0,1.0,1.0,0.9444444444444444,0.14285714285714285,1.0,0.05555555555555555,0.8571428571428571,0.0,0.05555555555555555,0.8571428571428571,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,4,100.0,100.0,33.33333333333333,80,21,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
no_crisis,scripted,4,100.0,100.0,100.0,19,2,8,1.0,1.0,1.0,0.8947368421052632,1.0,1.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
ordinary_disturbance,dqn,4,100.0,100.0,34.66666666666667,80,15,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ordinary_disturbance,scripted,4,100.0,100.0,100.0,19,2,9,1.0,1.0,1.0,0.8947368421052632,1.0,0.8888888888888888,0.10526315789473684,0.0,0.1111111111111111,0.10526315789473684,0.0,0.1111111111111111,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
cert_crisis_used_channel,dqn,4,100.0,96.66666666666667,0.0,80,5,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.0,1.0,1.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,4,100.0,100.0,100.0,19,12,7,1.0,1.0,1.0,0.8947368421052632,0.4166666666666667,0.42857142857142855,0.10526315789473684,0.5833333333333334,0.5714285714285714,0.10526315789473684,0.5833333333333334,0.5714285714285714,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
cert_crisis_unused_channel,dqn,4,100.0,100.0,33.33333333333333,80,21,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07352941176470588,0.0,1.0,1.0,0.0,1.0,1.0,0.0
cert_crisis_unused_channel,scripted,4,100.0,100.0,100.0,19,5,12,1.0,1.0,1.0,0.8947368421052632,0.6,0.6666666666666666,0.10526315789473684,0.4,0.3333333333333333,0.10526315789473684,0.4,0.3333333333333333,0.0,0.0,0.0,0.10526315789473684,0.0,0.08333333333333333,1.0,1.0,1.0
reset_d10,dqn,4,100.0,100.0,34.66666666666667,80,17,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,1.0,0.9411764705882353,1.3333333333333333,1.0,1.0,0.0
reset_d10,scripted,4,100.0,100.0,100.0,19,3,6,1.0,1.0,1.0,0.8947368421052632,0.3333333333333333,1.0,0.10526315789473684,0.6666666666666666,0.0,0.10526315789473684,0.6666666666666666,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
reset_d25,dqn,4,100.0,100.0,66.66666666666666,80,13,38,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,1.0,1.0,1.0,1.0,1.0,1.0
reset_d25,scripted,4,100.0,100.0,100.0,19,11,6,1.0,1.0,1.0,0.8947368421052632,0.45454545454545453,1.0,0.10526315789473684,0.5454545454545454,0.0,0.10526315789473684,0.5454545454545454,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
reset_d50,dqn,4,100.0,96.66666666666667,0.0,80,5,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.0,1.0,1.0,0.0,1.0,0.0,0.0
reset_d50,scripted,4,100.0,100.0,100.0,19,12,8,1.0,1.0,1.0,0.8947368421052632,0.4166666666666667,1.0,0.10526315789473684,0.5833333333333334,0.0,0.10526315789473684,0.5833333333333334,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
reset_d100,dqn,4,100.0,96.66666666666667,0.0,80,5,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.0,1.0,1.0,0.0,1.0,0.0,0.0
reset_d100,scripted,4,100.0,100.0,100.0,19,12,7,1.0,1.0,1.0,0.8947368421052632,0.4166666666666667,0.8571428571428571,0.10526315789473684,0.5833333333333334,0.14285714285714285,0.10526315789473684,0.5833333333333334,0.14285714285714285,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,5,68.33333333333333,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0
